filename,label.risk_level,label.risk_category,uav.mass_kg,uav.max_speed_mps,uav.battery_model.hover_power_W,environment.weather.wind_mps,environment.weather.gust_mps,environment.gnss_jam_dbm,daa.sep_threshold_m,daa.ttc_threshold_s,airspace.altitude_agl_max_m,uav.type,mission.type,mission.pattern,environment.weather.visibility,environment.gnss_multipath,is_missing__environment.gnss_multipath,comms.uplink_ok,is_missing__comms.uplink_ok,comms.downlink_ok,is_missing__comms.downlink_ok,environment.em_interference,is_missing__environment.em_interference,mission.runway_required,is_missing__mission.runway_required,has_lidar,is_missing__has_lidar,has_radar,is_missing__has_radar,has_gnss,is_missing__has_gnss,has_imu,is_missing__has_imu,has_camera_rgb,is_missing__has_camera_rgb,has_camera_thermal,is_missing__has_camera_thermal,feat_mission_dist_m,feat_mission_climb_m,feat_mission_tortuosity,feat_obstacle_count,feat_obstacle_avg_speed,feat_airspace_area_m2,feat_obstacle_density_per_km2,feat_weather_score,feat_power_to_weight,dq_core_present_pct,dq_weather_present,dq_uav_present,dq_mission_present,dq_comms_present,dq_sensors_present_pct
Aerial_Mapping_Under_Hail_Conditions_73f5b3c0b25a.json,3.0,High Risk,8.5,18.0,600.0,8.5,4.5,,25.0,15.0,120.0,octocopter,mapping,corridor,poor,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,705.6,20.0,303.33,1,2.0,60000.0,16.666666666666668,3,70.58823529411765,0.75,1.0,1.0,1.0,1.0,1.0
Aerial_Mapping_in_Cold_Rural_Environment_d0d397d2774f.json,2.0,Medium Risk,2.5,15.0,89.2,6.0,4.0,,25.0,15.0,120.0,quadrotor,mapping,grid,good,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1000.0,0.0,270.0,1,2.0,200000.0,5.0,1,35.68,0.75,1.0,1.0,1.0,1.0,1.0
Aerial_Mapping_in_Rural_Area_with_Lightning_Risk_1de125e4428d.json,2.0,Medium Risk,5.2,25.0,335.4,8.0,4.0,,50.0,30.0,150.0,fixed_wing,mapping,grid,good,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,2200.0,0.0,270.0,1,2.0,800000.0,1.25,1,64.5,0.75,1.0,1.0,1.0,1.0,1.0
Aerial_Mapping_in_Snowfall_at_Airport_Perimeter_9a72e6651e0a.json,3.0,High Risk,12.5,18.0,600.0,8.0,4.0,,25.0,15.0,120.0,octocopter,mapping,grid,poor,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1600.0,0.0,270.0,1,5.0,480000.0,2.0833333333333335,4,48.0,0.75,1.0,1.0,1.0,1.0,1.0
Aerial_Mapping_in_Wind_Farm_under_Rain_Conditions_b355a13d917c.json,3.0,High Risk,45.0,28.0,8538.5,7.5,4.2,-95.0,50.0,30.0,500.0,high_altitude_pseudo_satellite,mapping,grid,moderate,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,5935.78,100.0,314.78,1,2.23606797749979,4000000.0,0.25,5,189.74444444444444,1.0,1.0,1.0,1.0,1.0,1.0
Airport_Perimeter_Aerial_Mapping_in_Low_Visibility_a03b8b5de4e2.json,3.0,High Risk,25.0,35.0,1800.0,6.0,4.0,-95.0,25.0,15.0,150.0,vtol_tiltrotor,mapping,grid,low,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1600.0,0.0,270.0,1,1.0,250000.0,4.0,6,72.0,1.0,1.0,1.0,1.0,1.0,1.0
Airport_Perimeter_Aerial_Mapping_with_Convertiplane_8fcb927df83b.json,3.0,High Risk,12.5,35.0,1200.0,6.5,3.0,-95.0,25.0,20.0,120.0,convertiplane,mapping,grid,good,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1040.0,0.0,270.0,1,1.0,90000.0,11.111111111111112,1,96.0,1.0,1.0,1.0,1.0,1.0,1.0
Airport_Perimeter_Aerial_Mapping_with_Helicopter_811f0b9decd7.json,2.0,Medium Risk,18.5,32.0,850.0,6.2,3.1,,25.0,15.0,120.0,helicopter,mapping,grid,good,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1671.13,25.0,321.12,1,2.5,480000.0,2.0833333333333335,0,45.945945945945944,0.75,1.0,1.0,1.0,1.0,1.0
Airport_Perimeter_Aerial_Mapping_with_Lightning_Risk_0baad4609b9a.json,3.0,High Risk,12.5,18.0,800.0,6.5,4.0,,25.0,15.0,120.0,octocopter,mapping,grid,good,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,909.12,30.0,325.88,1,2.23606797749979,120000.0,8.333333333333334,1,64.0,0.75,1.0,1.0,1.0,1.0,1.0
Airport_Perimeter_Aerial_Mapping_with_Octocopter_in_Hail_bbef78094328.json,3.0,High Risk,12.5,18.0,480.0,8.5,4.2,,25.0,15.0,120.0,octocopter,mapping,grid,poor,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1000.0,0.0,270.0,1,2.0,200000.0,5.0,3,38.4,0.75,1.0,1.0,1.0,1.0,1.0
Airport_Perimeter_Aerial_Mapping_with_Swarm_Drone_b5099eea418a.json,3.0,High Risk,2.5,18.0,180.0,6.0,3.0,-95.0,25.0,30.0,120.0,swarm_drone,mapping,grid,good,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,600.0,0.0,270.0,1,1.0,150000.0,6.666666666666667,0,72.0,1.0,1.0,1.0,1.0,1.0,1.0
Airport_Perimeter_Border_Patrol_in_Hot_Conditions_c26cbd18756b.json,2.0,Medium Risk,2.5,15.0,89.2,8.0,4.0,,25.0,15.0,120.0,quadrotor,inspection,corridor,good,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1200.0,0.0,270.0,1,2.0,250000.0,4.0,1,35.68,0.75,1.0,1.0,1.0,1.0,1.0
